"Date_Time","Date","Time","min_dec","Day_Type","festivo","FasciaAEEG","Total_Power","DIMAT","Refrigeration_unit2","Data_centre","Bar_Ambrogio","Canteen","Rectory","Print_shop","Allocated","Not_allocated","Week_Day","Month","Month_Day","Year","Year_Day","Hour","Minute"
2018-05-07 00:00:00,"2018-05-07","00:00:00",0,1,"N","F23",140,3.6,2.4,37.6,6,15.6,8,0.4,73.6,66.4,"Lun","Mag",7,"2018",7,0,0
2018-05-07 00:15:00,"2018-05-07","00:15:00",0.25,1,"N","F23",142,4,2.4,40.4,6.4,16.8,8,0,78,64,"Lun","Mag",7,"2018",7,0,15
2018-05-07 00:30:00,"2018-05-07","00:30:00",0.5,1,"N","F23",140.8,3.6,2,39.6,6,18.4,8.4,0.4,78.4,62.4,"Lun","Mag",7,"2018",7,0,30
2018-05-07 00:45:00,"2018-05-07","00:45:00",0.75,1,"N","F23",134,4,2.4,36.4,6,16,8,0.8,73.6,60.4,"Lun","Mag",7,"2018",7,0,45
2018-05-07 01:00:00,"2018-05-07","01:00:00",1,1,"N","F23",139.6,3.6,2.4,42,6,16.8,8,0.4,79.2,60.4,"Lun","Mag",7,"2018",7,1,0
2018-05-07 01:15:00,"2018-05-07","01:15:00",1.25,1,"N","F23",140.8,3.6,2,39.6,6,18,8,0,77.2,63.6,"Lun","Mag",7,"2018",7,1,15
2018-05-07 01:30:00,"2018-05-07","01:30:00",1.5,1,"N","F23",134.4,4,2.4,37.2,6.4,17.6,8.4,0.4,76.4,58,"Lun","Mag",7,"2018",7,1,30
2018-05-07 01:45:00,"2018-05-07","01:45:00",1.75,1,"N","F23",140,3.6,2.4,39.2,6.4,17.2,8,0.4,77.2,62.8,"Lun","Mag",7,"2018",7,1,45
2018-05-07 02:00:00,"2018-05-07","02:00:00",2,1,"N","F23",139.2,4,2.4,41.2,6.4,17.6,8,0.4,80,59.2,"Lun","Mag",7,"2018",7,2,0
2018-05-07 02:15:00,"2018-05-07","02:15:00",2.25,1,"N","F23",135.2,3.6,2.8,38.4,6,18.4,8,0.4,77.6,57.6,"Lun","Mag",7,"2018",7,2,15
2018-05-07 02:30:00,"2018-05-07","02:30:00",2.5,1,"N","F23",132.8,4,2.4,37.6,5.6,18.4,8,0.4,76.4,56.4,"Lun","Mag",7,"2018",7,2,30
2018-05-07 02:45:00,"2018-05-07","02:45:00",2.75,1,"N","F23",138.8,3.6,2.8,39.2,6,19.6,8.4,0.4,80,58.8,"Lun","Mag",7,"2018",7,2,45
2018-05-07 03:00:00,"2018-05-07","03:00:00",3,1,"N","F23",131.2,4,2.4,36,6,19.2,7.6,0.4,75.6,55.6,"Lun","Mag",7,"2018",7,3,0
2018-05-07 03:15:00,"2018-05-07","03:15:00",3.25,1,"N","F23",133.6,3.6,2.4,39.2,6,17.6,8.4,0.4,77.6,56,"Lun","Mag",7,"2018",7,3,15
2018-05-07 03:30:00,"2018-05-07","03:30:00",3.5,1,"N","F23",131.6,4,2.8,37.2,6,17.2,8.4,0.4,76,55.6,"Lun","Mag",7,"2018",7,3,30
2018-05-07 03:45:00,"2018-05-07","03:45:00",3.75,1,"N","F23",134.4,4,2.4,40,6,18.8,7.6,0.4,79.2,55.2,"Lun","Mag",7,"2018",7,3,45
2018-05-07 04:00:00,"2018-05-07","04:00:00",4,1,"N","F23",133.6,3.6,2.4,39.2,6,16.4,8.4,0,76,57.6,"Lun","Mag",7,"2018",7,4,0
2018-05-07 04:15:00,"2018-05-07","04:15:00",4.25,1,"N","F23",132.8,4,2.8,38.8,6,18,8,0.4,78,54.8,"Lun","Mag",7,"2018",7,4,15
2018-05-07 04:30:00,"2018-05-07","04:30:00",4.5,1,"N","F23",132.8,3.6,2.4,38,6.4,17.6,8,0.4,76.4,56.4,"Lun","Mag",7,"2018",7,4,30
2018-05-07 04:45:00,"2018-05-07","04:45:00",4.75,1,"N","F23",136.4,4,2.4,36.8,8.4,19.6,8.4,0.8,80.4,56,"Lun","Mag",7,"2018",7,4,45
2018-05-07 05:00:00,"2018-05-07","05:00:00",5,1,"N","F23",139.6,3.6,2.8,37.2,8.8,18.8,8,0.4,79.6,60,"Lun","Mag",7,"2018",7,5,0
2018-05-07 05:15:00,"2018-05-07","05:15:00",5.25,1,"N","F23",144.8,3.6,2.4,38,7.6,17.6,8,0,77.2,67.6,"Lun","Mag",7,"2018",7,5,15
2018-05-07 05:30:00,"2018-05-07","05:30:00",5.5,1,"N","F23",157.2,4,2.4,38,8.8,19.6,8.4,0.4,81.6,75.6,"Lun","Mag",7,"2018",7,5,30
2018-05-07 05:45:00,"2018-05-07","05:45:00",5.75,1,"N","F23",160,3.6,10,36.8,8,18.8,8.4,0.4,86,74,"Lun","Mag",7,"2018",7,5,45
2018-05-07 06:00:00,"2018-05-07","06:00:00",6,1,"N","F23",168.8,3.6,16.8,37.6,8.4,17.2,8.4,0.4,92.4,76.4,"Lun","Mag",7,"2018",7,6,0
2018-05-07 06:15:00,"2018-05-07","06:15:00",6.25,1,"N","F23",200.4,4,17.2,39.2,10,20.8,8.4,0.4,100,100.4,"Lun","Mag",7,"2018",7,6,15
2018-05-07 06:30:00,"2018-05-07","06:30:00",6.5,1,"N","F23",327.6,5.2,17.6,38.4,10.8,127.6,8.4,0.4,208.4,119.2,"Lun","Mag",7,"2018",7,6,30
2018-05-07 06:45:00,"2018-05-07","06:45:00",6.75,1,"N","F23",316.8,5.6,17.6,38.4,16.8,106.4,8.4,0.4,193.6,123.2,"Lun","Mag",7,"2018",7,6,45
2018-05-07 07:00:00,"2018-05-07","07:00:00",7,1,"N","F23",322,6,18,38.8,21.2,96.8,8.4,0.4,189.6,132.4,"Lun","Mag",7,"2018",7,7,0
2018-05-07 07:15:00,"2018-05-07","07:15:00",7.25,1,"N","F23",324.4,5.6,18.4,37.2,20.4,90,8.8,1.2,181.6,142.8,"Lun","Mag",7,"2018",7,7,15
2018-05-07 07:30:00,"2018-05-07","07:30:00",7.5,1,"N","F23",356.8,5.6,19.6,37.2,12.8,100.4,9.2,2,186.8,170,"Lun","Mag",7,"2018",7,7,30
2018-05-07 07:45:00,"2018-05-07","07:45:00",7.75,1,"N","F23",378,6,20,38,16.8,111.6,11.2,2,205.6,172.4,"Lun","Mag",7,"2018",7,7,45
2018-05-07 08:00:00,"2018-05-07","08:00:00",8,1,"N","F1",422,6,19.6,38,16,150.8,11.2,6.8,248.4,173.6,"Lun","Mag",7,"2018",7,8,0
2018-05-07 08:15:00,"2018-05-07","08:15:00",8.25,1,"N","F1",452.4,6.8,20,36.8,14.8,162.8,12,8.8,262,190.4,"Lun","Mag",7,"2018",7,8,15
2018-05-07 08:30:00,"2018-05-07","08:30:00",8.5,1,"N","F1",500,7.2,20,38.8,32,174.4,13.2,8.8,294.4,205.6,"Lun","Mag",7,"2018",7,8,30
2018-05-07 08:45:00,"2018-05-07","08:45:00",8.75,1,"N","F1",514,7.2,19.6,36.4,26.4,187.2,14.8,9.2,300.8,213.2,"Lun","Mag",7,"2018",7,8,45
2018-05-07 09:00:00,"2018-05-07","09:00:00",9,1,"N","F1",502,7.6,20,37.2,26.4,144.4,14.8,9.6,260,242,"Lun","Mag",7,"2018",7,9,0
2018-05-07 09:15:00,"2018-05-07","09:15:00",9.25,1,"N","F1",514,8,20,38.8,16.8,160,14.8,9.6,268,246,"Lun","Mag",7,"2018",7,9,15
2018-05-07 09:30:00,"2018-05-07","09:30:00",9.5,1,"N","F1",526,7.6,19.6,37.6,17.2,171.2,14.4,8.8,276.4,249.6,"Lun","Mag",7,"2018",7,9,30
2018-05-07 09:45:00,"2018-05-07","09:45:00",9.75,1,"N","F1",549.6,8.8,20,37.2,22.4,176.8,15.6,10,290.8,258.8,"Lun","Mag",7,"2018",7,9,45
2018-05-07 10:00:00,"2018-05-07","10:00:00",10,1,"N","F1",530,8,20,39.2,22,155.6,14.8,8.4,268,262,"Lun","Mag",7,"2018",7,10,0
2018-05-07 10:15:00,"2018-05-07","10:15:00",10.25,1,"N","F1",533.6,8.4,19.6,36.8,24.4,158.4,17.6,8,273.2,260.4,"Lun","Mag",7,"2018",7,10,15
2018-05-07 10:30:00,"2018-05-07","10:30:00",10.5,1,"N","F1",537.6,8.8,20.8,40.4,30,138.8,18,8.8,265.6,272,"Lun","Mag",7,"2018",7,10,30
2018-05-07 10:45:00,"2018-05-07","10:45:00",10.75,1,"N","F1",521.2,9.2,21.6,40.4,26.8,127.6,18.8,8.8,253.2,268,"Lun","Mag",7,"2018",7,10,45
2018-05-07 11:00:00,"2018-05-07","11:00:00",11,1,"N","F1",520.4,8.8,21.6,38.8,24.4,136,18,9.2,256.8,263.6,"Lun","Mag",7,"2018",7,11,0
2018-05-07 11:15:00,"2018-05-07","11:15:00",11.25,1,"N","F1",545.6,8.8,22,38.8,20.4,152.4,18.4,11.2,272,273.6,"Lun","Mag",7,"2018",7,11,15
2018-05-07 11:30:00,"2018-05-07","11:30:00",11.5,1,"N","F1",591.6,8.4,22.4,41.2,22.4,192.8,18.4,10,315.6,276,"Lun","Mag",7,"2018",7,11,30
2018-05-07 11:45:00,"2018-05-07","11:45:00",11.75,1,"N","F1",567.2,9.2,22,38,23.6,178.4,18,9.2,298.4,268.8,"Lun","Mag",7,"2018",7,11,45
2018-05-07 12:00:00,"2018-05-07","12:00:00",12,1,"N","F1",582,8.4,22.8,40.8,26,180,18,10,306,276,"Lun","Mag",7,"2018",7,12,0
2018-05-07 12:15:00,"2018-05-07","12:15:00",12.25,1,"N","F1",577.6,7.6,23.2,39.2,22.8,182.8,18,10,303.6,274,"Lun","Mag",7,"2018",7,12,15
2018-05-07 12:30:00,"2018-05-07","12:30:00",12.5,1,"N","F1",635.6,7.2,78.4,39.6,20,192.8,18,9.6,365.6,270,"Lun","Mag",7,"2018",7,12,30
2018-05-07 12:45:00,"2018-05-07","12:45:00",12.75,1,"N","F1",674.8,7.6,102.8,39.6,26,196.8,17.6,9.6,400,274.8,"Lun","Mag",7,"2018",7,12,45
2018-05-07 13:00:00,"2018-05-07","13:00:00",13,1,"N","F1",722,7.6,137.2,40.8,21.6,204.8,18,9.6,439.6,282.4,"Lun","Mag",7,"2018",7,13,0
2018-05-07 13:15:00,"2018-05-07","13:15:00",13.25,1,"N","F1",679.2,6.8,85.6,38.8,27.6,211.6,17.2,8.4,396,283.2,"Lun","Mag",7,"2018",7,13,15
2018-05-07 13:30:00,"2018-05-07","13:30:00",13.5,1,"N","F1",655.6,7.6,66.4,38.8,29.6,208.8,17.6,9.2,378,277.6,"Lun","Mag",7,"2018",7,13,30
2018-05-07 13:45:00,"2018-05-07","13:45:00",13.75,1,"N","F1",609.2,8.8,53.6,41.6,23.6,186,17.2,8.8,339.6,269.6,"Lun","Mag",7,"2018",7,13,45
2018-05-07 14:00:00,"2018-05-07","14:00:00",14,1,"N","F1",574.4,8.8,54,37.6,22,160,16.4,10.8,309.6,264.8,"Lun","Mag",7,"2018",7,14,0
2018-05-07 14:15:00,"2018-05-07","14:15:00",14.25,1,"N","F1",586,8.4,58.4,41.6,20.4,154,16.8,13.2,312.8,273.2,"Lun","Mag",7,"2018",7,14,15
2018-05-07 14:30:00,"2018-05-07","14:30:00",14.5,1,"N","F1",567.6,7.6,57.6,38.8,21.2,146,17.6,11.2,300,267.6,"Lun","Mag",7,"2018",7,14,30
2018-05-07 14:45:00,"2018-05-07","14:45:00",14.75,1,"N","F1",593.6,6.8,59.2,40,26.4,153.2,17.6,10.8,314,279.6,"Lun","Mag",7,"2018",7,14,45
2018-05-07 15:00:00,"2018-05-07","15:00:00",15,1,"N","F1",569.2,6.8,61.6,40.8,20,136.4,18.8,10.4,294.8,274.4,"Lun","Mag",7,"2018",7,15,0
2018-05-07 15:15:00,"2018-05-07","15:15:00",15.25,1,"N","F1",526.8,6.4,58.4,38.8,15.6,112.4,18.8,10,260.4,266.4,"Lun","Mag",7,"2018",7,15,15
2018-05-07 15:30:00,"2018-05-07","15:30:00",15.5,1,"N","F1",537.6,6.4,54.4,40,18.4,114.8,17.2,11.2,262.4,275.2,"Lun","Mag",7,"2018",7,15,30
2018-05-07 15:45:00,"2018-05-07","15:45:00",15.75,1,"N","F1",504,6.4,54.8,40,16,79.6,18.4,10.8,226,278,"Lun","Mag",7,"2018",7,15,45
2018-05-07 16:00:00,"2018-05-07","16:00:00",16,1,"N","F1",478,6.4,53.2,38.8,15.6,64.8,17.6,9.6,206,272,"Lun","Mag",7,"2018",7,16,0
2018-05-07 16:15:00,"2018-05-07","16:15:00",16.25,1,"N","F1",483.2,6.4,54.4,40.8,17.6,52.8,17.6,9.6,199.2,284,"Lun","Mag",7,"2018",7,16,15
2018-05-07 16:30:00,"2018-05-07","16:30:00",16.5,1,"N","F1",475.2,6.8,52.4,39.6,16.4,43.6,18.4,11.2,188.4,286.8,"Lun","Mag",7,"2018",7,16,30
2018-05-07 16:45:00,"2018-05-07","16:45:00",16.75,1,"N","F1",440.4,6.4,29.2,38.8,14,42.4,18,12.8,161.6,278.8,"Lun","Mag",7,"2018",7,16,45
2018-05-07 17:00:00,"2018-05-07","17:00:00",17,1,"N","F1",450.8,7.2,28,40,16.4,35.6,18.8,10.8,156.8,294,"Lun","Mag",7,"2018",7,17,0
2018-05-07 17:15:00,"2018-05-07","17:15:00",17.25,1,"N","F1",450.4,7.6,27.6,39.2,12,43.2,18.8,8.8,157.2,293.2,"Lun","Mag",7,"2018",7,17,15
2018-05-07 17:30:00,"2018-05-07","17:30:00",17.5,1,"N","F1",444.4,8,26,37.6,12.4,42,18,8.8,152.8,291.6,"Lun","Mag",7,"2018",7,17,30
