"Date_Time","Total_Power","Type"
"2018-05-07 00:00:00",140,"Correct"
"2018-05-07 00:15:00",142,"Correct"
"2018-05-07 00:30:00",140.8,"Correct"
"2018-05-07 00:45:00",134,"Correct"
"2018-05-07 01:00:00",139.6,"Correct"
"2018-05-07 01:15:00",140.8,"Correct"
"2018-05-07 01:30:00",134.4,"Correct"
"2018-05-07 01:45:00",140,"Correct"
"2018-05-07 02:00:00",139.2,"Correct"
"2018-05-07 02:15:00",135.2,"Correct"
"2018-05-07 02:30:00",132.8,"Correct"
"2018-05-07 02:45:00",138.8,"Correct"
"2018-05-07 03:00:00",131.2,"Correct"
"2018-05-07 03:15:00",133.6,"Correct"
"2018-05-07 03:30:00",131.6,"Correct"
"2018-05-07 03:45:00",134.4,"Correct"
"2018-05-07 04:00:00",133.6,"Correct"
"2018-05-07 04:15:00",132.8,"Correct"
"2018-05-07 04:30:00",132.8,"Correct"
"2018-05-07 04:45:00",136.4,"Correct"
"2018-05-07 05:00:00",139.6,"Correct"
"2018-05-07 05:15:00",144.8,"Correct"
"2018-05-07 05:30:00",157.2,"Correct"
"2018-05-07 05:45:00",160,"Correct"
"2018-05-07 06:00:00",168.8,"Correct"
"2018-05-07 06:15:00",200.4,"Correct"
"2018-05-07 06:30:00",327.6,"Correct"
"2018-05-07 06:45:00",316.8,"Correct"
"2018-05-07 07:00:00",322,"Correct"
"2018-05-07 07:15:00",324.4,"Correct"
"2018-05-07 07:30:00",356.8,"Correct"
"2018-05-07 07:45:00",378,"Correct"
"2018-05-07 08:00:00",422,"Correct"
"2018-05-07 08:15:00",452.4,"Correct"
"2018-05-07 08:30:00",500,"Correct"
"2018-05-07 08:45:00",514,"Correct"
"2018-05-07 09:00:00",502,"Correct"
"2018-05-07 09:15:00",514,"Correct"
"2018-05-07 09:30:00",526,"Correct"
"2018-05-07 09:45:00",549.6,"Correct"
"2018-05-07 10:00:00",530,"Correct"
"2018-05-07 10:15:00",533.6,"Correct"
"2018-05-07 10:30:00",537.6,"Correct"
"2018-05-07 10:45:00",521.2,"Correct"
"2018-05-07 11:00:00",520.4,"Correct"
"2018-05-07 11:15:00",545.6,"Correct"
"2018-05-07 11:30:00",591.6,"Correct"
"2018-05-07 11:45:00",567.2,"Correct"
"2018-05-07 12:00:00",582,"Correct"
"2018-05-07 12:15:00",577.6,"Correct"
"2018-05-07 12:30:00",635.6,"Correct"
"2018-05-07 12:45:00",674.8,"Correct"
"2018-05-07 13:00:00",722,"Correct"
"2018-05-07 13:15:00",679.2,"Correct"
"2018-05-07 13:30:00",655.6,"Correct"
"2018-05-07 13:45:00",609.2,"Correct"
"2018-05-07 14:00:00",574.4,"Correct"
"2018-05-07 14:15:00",586,"Correct"
"2018-05-07 14:30:00",567.6,"Correct"
"2018-05-07 14:45:00",593.6,"Correct"
"2018-05-07 15:00:00",569.2,"Correct"
"2018-05-07 15:15:00",526.8,"Correct"
"2018-05-07 15:30:00",537.6,"Correct"
"2018-05-07 15:45:00",504,"Correct"
"2018-05-07 16:00:00",478,"Correct"
"2018-05-07 16:15:00",483.2,"Correct"
"2018-05-07 16:30:00",475.2,"Correct"
"2018-05-07 16:45:00",440.4,"Correct"
"2018-05-07 17:00:00",450.8,"Correct"
"2018-05-07 17:15:00",450.4,"Correct"
"2018-05-07 17:30:00",444.4,"Correct"
"2018-05-07 17:45:00",450.4,"Correct"
"2018-05-07 18:00:00",438.4,"Correct"
"2018-05-07 18:15:00",422,"Correct"
"2018-05-07 18:30:00",418.8,"Correct"
"2018-05-07 18:45:00",396,"Correct"
"2018-05-07 19:00:00",378.4,"Correct"
"2018-05-07 19:15:00",336,"Correct"
"2018-05-07 19:30:00",282,"Correct"
"2018-05-07 19:45:00",268.8,"Correct"
